Date,Open,High,Low,Close*,Adj Close**,Volume
02/28/22,55329.46,56324.54,54833.5,56247.28,56247.28,7700
02/25/22,55321.72,56183.7,55299.28,55858.52,55858.52,9900
02/24/22,55418.45,55996.09,54383.2,54529.91,54529.91,15600
02/23/22,57632.94,57733.37,57109.24,57232.06,57232.06,6200
02/22/22,56438.64,57505.85,56394.85,57300.68,57300.68,14100
02/21/22,57551.65,58141.96,57167.02,57683.59,57683.59,6600
02/18/22,57488.39,58175.35,57488.39,57832.97,57832.97,9800
02/17/22,58217.69,58346,57635.43,57892.01,57892.01,6400
02/16/22,58310.68,58569.22,57780.28,57996.68,57996.68,7300
02/15/22,56731.56,58211.38,56438.47,58142.05,58142.05,10000
02/14/22,56720.32,57191.91,56295.7,56405.84,56405.84,8300
02/11/22,58447.15,58447.15,57914.1,58152.92,58152.92,5700
02/10/22,58810.53,59060.24,58332.28,58926.03,58926.03,6700
02/09/22,58163.01,58507.61,58105.18,58465.97,58465.97,5900
02/08/22,57799.67,57925.82,57058.77,57808.58,57808.58,8900
02/07/22,58549.67,58707.76,57299.05,57621.19,57621.19,11500
02/04/22,58918.65,58943.62,58446.95,58644.82,58644.82,7300
02/03/22,59528.16,59557.87,58653.94,58788.02,58788.02,7100
02/02/22,59293.44,59618.51,59193.05,59558.33,59558.33,8500
02/01/22,58672.86,59032.2,57737.66,58862.57,58862.57,14000
01/31/22,57845.91,58257.63,57746.15,58014.17,58014.17,7400
01/28/22,57795.11,58084.33,57119.28,57200.23,57200.23,13000
01/27/22,57317.38,57508.61,56439.36,57276.94,57276.94,10300
01/25/22,57158.63,57966.93,56409.63,57858.15,57858.15,10400
01/24/22,59023.97,59023.97,56984.01,57491.51,57491.51,10800
01/21/22,59039.37,59329.63,58620.93,59037.18,59037.18,7600
01/20/22,60045.48,60045.48,59068.31,59464.62,59464.62,11800
01/19/22,60845.59,60870.17,59949.22,60098.82,60098.82,7000
01/18/22,61430.77,61475.15,60662.57,60754.86,60754.86,12500
01/17/22,61219.64,61385.48,61107.6,61308.91,61308.91,7600
01/14/22,61040.32,61324.59,60757.03,61223.03,61223.03,6900
01/13/22,61259.99,61348.57,60949.81,61235.3,61235.3,9300
01/12/22,61014.37,61218.19,60850.93,61150.04,61150.04,6200
01/11/22,60342.7,60689.25,60281.52,60616.89,60616.89,6500
01/10/22,60070.39,60427.36,59987.18,60395.63,60395.63,7600
01/07/22,59776.1,60130.18,59401.44,59744.65,59744.65,8300
01/06/22,59731.75,59781.86,59290.58,59601.84,59601.84,6000
01/05/22,59921.98,60332.72,59661.38,60223.15,60223.15,8600
01/04/22,59343.79,59937.33,59084.4,59855.93,59855.93,9100
01/03/22,58310.09,59266.39,58306.45,59183.22,59183.22,8200
12/31/21,57849.76,58409.3,57846.52,58253.82,58253.82,7000
12/30/21,57755.4,58010.03,57578.99,57794.32,57794.32,7300
12/29/21,57892.31,58097.07,57684.58,57806.49,57806.49,5300
12/28/21,57751.21,57952.48,57650.29,57897.48,57897.48,5500
12/27/21,56948.33,57512.01,56543.08,57420.24,57420.24,5700
12/24/21,57567.11,57623.69,56813.42,57124.31,57124.31,6400
12/23/21,57251.15,57490.52,57146.28,57315.28,57315.28,6000
12/22/21,56599.47,56989.01,56471.03,56930.56,56930.56,6100
12/21/21,56320.02,56900.74,56047.22,56319.01,56319.01,7400
12/20/21,56517.26,56538.15,55132.68,55822.01,55822.01,13300
12/17/21,58021.63,58062.28,56950.98,57011.74,57011.74,8600
12/16/21,58243.43,58337.2,57683.11,57901.14,57901.14,5200
12/15/21,58122,58218.25,57671.61,57788.03,57788.03,7600
12/14/21,58059.76,58322.42,57803.87,58117.09,58117.09,6800
12/13/21,59103.72,59203.37,58242.8,58283.42,58283.42,5900
12/10/21,58696.71,58859.91,58414.76,58786.67,58786.67,5600
12/09/21,58831.41,58889.96,58340.85,58807.13,58807.13,7900
12/08/21,58158.56,58702.65,58122.27,58649.68,58649.68,13400
12/07/21,57125.98,57905.63,56992.27,57633.65,57633.65,10900
12/06/21,57778.01,57781.46,56687.62,56747.14,56747.14,7200
12/03/21,58555.58,58757.09,57640.57,57696.46,57696.46,8500
12/02/21,57781.48,58513.93,57680.41,58461.29,58461.29,8100
12/01/21,57365.85,57846.45,57346.78,57684.79,57684.79,11700
11/30/21,57272.08,58183.77,56867.51,57064.87,57064.87,8100
11/29/21,57028.04,57626.51,56382.93,57260.58,57260.58,8400
11/26/21,58254.79,58254.79,56993.89,57107.15,57107.15,8400
11/25/21,58363.93,58901.58,58143.86,58795.09,58795.09,6800
11/24/21,58839.32,58968.12,58143.44,58340.99,58340.99,8800
11/23/21,57983.95,58834.95,57718.34,58664.33,58664.33,12000
11/22/21,59710.48,59778.37,58011.92,58465.89,58465.89,10600
11/18/21,59968.75,60177.52,59376.5,59636.01,59636.01,7800
11/17/21,60179.93,60426.61,59944.77,60008.33,60008.33,19900
11/16/21,60755.38,60802.79,60199.56,60322.37,60322.37,6300
11/15/21,60837.4,61036.56,60597.36,60718.71,60718.71,7100
11/12/21,60248.04,60750.72,59997.96,60686.69,60686.69,6900
11/11/21,60291.7,60293.25,59656.26,59919.69,59919.69,6200
11/10/21,60295.26,60506.5,59967.45,60352.82,60352.82,7500
11/09/21,60609.72,60670.47,60213.64,60433.45,60433.45,6200
11/08/21,60385.76,60609.16,59779.19,60545.61,60545.61,7500
11/04/21,60207.97,60207.97,60011.46,60067.62,60067.62,1800
11/03/21,60275.21,60361.82,59552.49,59771.92,59771.92,8500
11/02/21,60360.61,60421.14,59881.75,60029.06,60029.06,6000
11/01/21,59577.48,60220.21,59355.12,60138.46,60138.46,7200
